minpressurem,minhumidity,maxtempi,mintempi,maxpressurei,precipm,mindewptm,meanwindspdm,meandewpti,mintempm,maxhumidity,maxpressurem,meantempm,precipi,meanwdire,maxwspdi,humidity,minpressurei,maxdewpti,maxtempm,mindewpti,meandewptm,meanwindspdi,meanwdird,maxwspdm,maxdewptm,meantempi,date_tzname,date_mon,date_hour,date_min,date_year,date_pretty,date_mday
1015.1,77,74.1,70.9,30.09,0.3,18.0,14.7,66.2,21.6,87,1018.8,22.5,0.01,SSW,24.0,81,29.98,68.5,23.4,64.4,19.0,9.1,,38.6,20.3,72.5,America/Sao_Paulo,04,00,00,2016,"April 29, 2016",29
1012.8,75,79.1,69.1,30.02,0.0,18.8,8.1,68.8,20.6,93,1016.5,23.4,0.00,SSE,19.0,83,29.91,71.3,26.2,65.9,20.5,5.0,,30.6,21.8,74.1,America/Sao_Paulo,04,00,00,2016,"April 30, 2016",30
1015.5,63,75.1,68.8,30.17,3.0,15.3,21.4,63.3,20.4,87,1021.6,22.2,0.12,South,24.0,74,29.99,66.6,23.9,59.5,17.4,13.3,,38.6,19.2,71.9,America/Sao_Paulo,05,00,00,2016,"May 1, 2016",01
1019.5,51,78.5,68.4,30.21,0.0,10.2,13.7,59.2,20.2,84,1022.9,23.0,0.00,South,18.0,63,30.11,64.5,25.8,50.4,15.1,8.5,,29.0,18.1,73.4,America/Sao_Paulo,05,00,00,2016,"May 2, 2016",02
1018.8,69,77.5,65.5,30.19,0.0,16.4,6.5,66.2,18.6,90,1022.2,21.9,0.00,South,13.0,82,30.09,69.5,25.3,61.6,19.0,4.1,,20.9,20.8,71.5,America/Sao_Paulo,05,00,00,2016,"May 3, 2016",03
1014.8,55,85.3,68.3,30.14,0.0,18.5,5.9,68.9,20.2,93,1020.5,24.9,0.00,North,12.0,80,29.97,71.6,29.6,65.3,20.5,3.7,,19.3,22.0,76.8,America/Sao_Paulo,05,00,00,2016,"May 4, 2016",04
1018.2,60,80.2,71.0,30.17,0.0,17.8,11.9,67.2,21.7,93,1021.6,24.2,0.00,South,15.0,76,30.07,70.5,26.8,64.1,19.6,7.4,,24.1,21.4,75.6,America/Sao_Paulo,05,00,00,2016,"May 5, 2016",05
1018.2,65,82.3,69.2,30.16,0.0,18.4,4.9,68.8,20.7,91,1021.2,24.3,0.00,ENE,9.0,81,30.07,71.8,27.9,65.1,20.5,3.1,,14.5,22.1,75.8,America/Sao_Paulo,05,00,00,2016,"May 6, 2016",06
1016.1,50,87.5,71.0,30.14,0.0,19.2,8.0,70.3,21.7,93,1020.5,26.2,0.00,North,13.0,80,30.01,73.0,30.8,66.5,21.3,5.0,,20.9,22.8,79.2,America/Sao_Paulo,05,00,00,2016,"May 7, 2016",07
1014.4,54,87.4,72.2,30.11,0.0,20.2,8.9,70.6,22.3,91,1019.5,26.6,0.00,North,13.0,79,29.96,73.3,30.8,68.4,21.5,5.6,,20.9,22.9,79.8,America/Sao_Paulo,05,00,00,2016,"May 8, 2016",08
1015.5,57,87.3,71.5,30.10,0.0,20.1,8.0,69.8,21.9,90,1019.2,26.3,0.00,North,13.0,77,29.99,72.7,30.7,68.1,21.0,5.0,,20.9,22.6,79.4,America/Sao_Paulo,05,00,00,2016,"May 9, 2016",09
1016.8,71,80.0,71.1,30.08,0.0,19.4,8.3,68.9,21.7,89,1018.5,24.2,0.00,NW,14.0,83,30.03,70.6,26.7,67.0,20.5,5.1,,22.5,21.4,75.6,America/Sao_Paulo,05,00,00,2016,"May 10, 2016",10
1015.1,65,84.3,73.0,30.09,0.0,20.1,12.7,70.3,22.8,86,1018.8,25.9,0.00,South,23.0,78,29.98,73.9,29.1,68.2,21.3,7.9,,37.0,23.3,78.7,America/Sao_Paulo,05,00,00,2016,"May 11, 2016",11
1015.8,67,83.3,70.7,30.11,18.0,20.3,8.7,70.4,21.5,93,1019.5,25.0,0.71,South,20.0,81,30.00,73.1,28.5,68.5,21.4,5.4,,32.2,22.8,77.0,America/Sao_Paulo,05,00,00,2016,"May 12, 2016",12
1018.5,68,79.0,72.2,30.18,0.0,18.8,17.2,67.4,22.3,86,1021.9,24.2,0.00,South,26.0,78,30.08,68.9,26.1,65.8,19.6,10.7,,41.8,20.5,75.6,America/Sao_Paulo,05,00,00,2016,"May 13, 2016",13
1021.2,54,77.3,71.4,30.25,0.0,14.3,15.5,63.4,21.9,84,1024.3,23.5,0.00,South,19.0,70,30.16,67.3,25.2,57.7,17.4,9.7,,30.6,19.6,74.4,America/Sao_Paulo,05,00,00,2016,"May 14, 2016",14
1019.5,65,78.2,69.0,30.24,0.0,16.5,7.1,65.2,20.6,88,1023.9,23.1,0.00,WNW,14.0,78,30.11,67.1,25.7,61.7,18.4,4.4,,22.5,19.5,73.6,America/Sao_Paulo,05,00,00,2016,"May 15, 2016",15
1013.1,46,90.6,69.8,30.16,0.0,18.8,11.8,67.8,21.0,89,1021.2,26.8,0.00,NNW,20.0,74,29.92,71.3,32.6,65.8,19.9,7.3,,32.2,21.8,80.2,America/Sao_Paulo,05,00,00,2016,"May 16, 2016",16
1012.4,82,76.4,70.8,29.99,0.0,20.3,6.3,69.3,21.6,93,1015.5,23.1,0.00,NNW,10.0,91,29.90,70.6,24.7,68.6,20.7,3.9,,16.1,21.4,73.6,America/Sao_Paulo,05,00,00,2016,"May 17, 2016",17
1017.5,86,75.4,74.1,30.11,0.0,21.6,12.9,71.1,23.4,90,1019.5,23.8,0.00,South,13.0,88,30.05,71.5,24.1,70.8,21.7,8.0,,20.9,21.9,74.8,America/Sao_Paulo,05,00,00,2016,"May 18, 2016",18
1017.8,81,77.2,72.1,30.21,0.0,20.4,12.7,70.0,22.3,92,1022.9,23.7,0.00,South,23.0,86,30.06,71.2,25.1,68.8,21.1,7.9,,37.0,21.8,74.6,America/Sao_Paulo,05,00,00,2016,"May 19, 2016",19
1021.2,78,80.1,71.2,30.26,5.8,20.4,9.6,71.1,21.8,95,1024.6,24.2,0.23,South,15.0,87,30.16,73.0,26.7,68.8,21.7,6.0,,24.1,22.8,75.6,America/Sao_Paulo,05,00,00,2016,"May 20, 2016",20
1018.8,78,82.0,72.9,30.19,3.6,21.7,2.8,73.0,22.7,97,1022.2,25.2,0.14,NNE,7.0,90,30.09,74.8,27.8,71.0,22.8,1.8,,11.3,23.8,77.4,America/Sao_Paulo,05,00,00,2016,"May 21, 2016",21
1016.5,57,87.4,72.9,30.14,0.0,20.9,11.5,71.4,22.7,94,1020.5,26.8,0.00,North,17.0,80,30.02,74.8,30.8,69.6,21.9,7.1,,27.4,23.8,80.2,America/Sao_Paulo,05,00,00,2016,"May 22, 2016",22
1015.5,54,91.3,70.2,30.20,0.3,17.4,18.5,70.3,21.2,93,1022.6,27.1,0.01,South,33.0,79,29.99,74.3,32.9,63.4,21.3,11.5,,53.1,23.5,80.8,America/Sao_Paulo,05,00,00,2016,"May 23, 2016",23
1022.2,62,76.4,69.7,30.32,0.0,14.3,23.2,62.4,20.9,79,1026.6,22.8,0.00,South,24.0,71,30.19,65.2,24.7,57.8,16.9,14.4,,38.6,18.4,73.1,America/Sao_Paulo,05,00,00,2016,"May 24, 2016",24
1023.9,65,75.7,70.2,30.33,0.0,16.6,16.5,63.6,21.2,80,1027.0,22.7,0.00,South,21.0,73,30.24,65.6,24.3,61.9,17.6,10.2,,33.8,18.7,72.9,America/Sao_Paulo,05,00,00,2016,"May 25, 2016",25
1019.2,56,78.6,65.3,30.24,0.0,15.7,5.9,62.7,18.5,89,1023.9,22.2,0.00,SSE,11.0,73,30.10,64.7,25.9,60.3,17.1,3.6,,17.7,18.2,71.9,America/Sao_Paulo,05,00,00,2016,"May 26, 2016",26
1019.2,57,79.4,63.0,30.21,0.0,14.7,7.2,63.2,17.2,88,1022.9,21.8,0.00,SW,10.0,78,30.10,67.1,26.3,58.4,17.4,4.5,,16.1,19.5,71.2,America/Sao_Paulo,05,00,00,2016,"May 27, 2016",27
1021.2,64,77.9,64.2,30.24,0.0,15.9,9.8,65.0,17.9,92,1023.9,21.7,0.00,South,15.0,78,30.16,68.5,25.5,60.6,18.4,6.1,,24.1,20.3,71.1,America/Sao_Paulo,05,00,00,2016,"May 28, 2016",28
1018.5,73,78.2,67.6,30.18,0.0,18.1,4.3,67.3,19.8,92,1021.9,22.7,0.00,SSE,8.0,84,30.08,70.2,25.7,64.6,19.6,2.6,,12.9,21.2,72.9,America/Sao_Paulo,05,00,00,2016,"May 29, 2016",29
1012.8,50,88.0,67.7,30.09,0.0,18.4,8.6,68.9,19.8,94,1018.8,25.5,0.00,North,16.0,79,29.91,72.5,31.1,65.2,20.5,5.4,,25.7,22.5,77.8,America/Sao_Paulo,05,00,00,2016,"May 30, 2016",30
1013.4,61,87.0,69.9,30.02,1.0,19.6,5.1,69.7,21.1,94,1016.5,25.8,0.04,NW,8.0,83,29.93,74.3,30.6,67.2,21.0,3.1,,12.9,23.5,78.4,America/Sao_Paulo,06,00,00,2016,"June 1, 2016",01
1012.4,64,85.7,70.5,30.01,0.0,20.1,5.1,71.0,21.4,94,1016.1,25.6,0.00,NNW,9.0,83,29.90,73.6,29.8,68.2,21.7,3.1,,14.5,23.1,78.1,America/Sao_Paulo,06,00,00,2016,"June 2, 2016",02
1012.8,73,80.1,72.6,30.03,0.0,19.1,7.7,70.2,22.6,95,1016.8,24.6,0.00,South,20.0,84,29.91,72.4,26.7,66.3,21.2,4.8,,32.2,22.4,76.3,America/Sao_Paulo,06,00,00,2016,"June 3, 2016",03
1012.1,73,84.8,72.2,30.02,0.0,21.4,5.9,72.7,22.3,95,1016.5,25.8,0.00,South,13.0,88,29.89,75.2,29.3,70.5,22.6,3.7,,20.9,24.0,78.5,America/Sao_Paulo,06,00,00,2016,"June 4, 2016",04
1011.7,65,87.0,72.1,30.04,0.0,20.6,9.6,72.7,22.3,93,1017.2,26.4,0.00,North,14.0,83,29.88,75.3,30.6,69.0,22.6,5.9,,22.5,24.1,79.6,America/Sao_Paulo,06,00,00,2016,"June 5, 2016",05
1010.7,57,91.3,74.5,29.98,0.0,22.3,5.8,73.6,23.6,95,1015.1,28.3,0.00,NE,17.0,84,29.85,76.8,32.9,72.1,23.1,3.6,,27.4,24.9,82.9,America/Sao_Paulo,06,00,00,2016,"June 6, 2016",06
1010.4,79,79.4,72.5,30.04,0.0,20.3,15.6,71.0,22.5,96,1017.2,24.4,0.00,SSE,23.0,88,29.84,73.2,26.3,68.6,21.7,9.7,,37.0,22.9,75.9,America/Sao_Paulo,06,00,00,2016,"June 7, 2016",07
1016.8,79,74.8,68.2,30.13,4.6,18.7,13.5,67.1,20.1,93,1020.2,21.9,0.18,South,20.0,85,30.03,68.8,23.8,65.7,19.5,8.4,,32.2,20.4,71.5,America/Sao_Paulo,06,00,00,2016,"June 8, 2016",08
